Country,Continent,Age Group,Suicide Rate
Luxembourg,Europe,70-74,4.3
Netherlands,Europe,70-74,11.8
Norway,Europe,70-74,13.1
Poland,Europe,70-74,11.5
Portugal,Europe,70-74,14.7
Slovak Republic,Europe,70-74,12
Slovenia,Europe,70-74,30.6
Spain,Europe,70-74,9.8
Sweden,Europe,70-74,13.9
Switzerland,Europe,70-74,15.7
Turkey,Asia,70-74,4.3
United Kingdom,Europe,70-74,6.3
Austria,Europe,75-79,30.8
Belgium,Europe,75-79,19.4
Czech Republic,Europe,75-79,20.7
Denmark,Europe,75-79,10.5
Estonia,Europe,75-79,11
Finland,Europe,75-79,7.6
France,Europe,75-79,19.4
Germany,Europe,75-79,19.7
Greece,Europe,75-79,5
Hungary,Europe,75-79,31.8
Iceland,Europe,75-79,0
Ireland,Europe,75-79,4.2
Israel,Asia,75-79,9.4
Italy,Europe,75-79,11.7
Japan,Asia,75-79,18.6
Korea,Asia,75-79,44.5
Latvia,Europe,75-79,17.9
Lithuania,Europe,75-79,36.3
Luxembourg,Europe,75-79,6
Netherlands,Europe,75-79,13.7
Norway,Europe,75-79,13
Poland,Europe,75-79,11.9
Portugal,Europe,75-79,17.7
Slovak Republic,Europe,75-79,10.8
Slovenia,Europe,75-79,41.3
Spain,Europe,75-79,14.4
Sweden,Europe,75-79,14.7
Switzerland,Europe,75-79,22.9
Turkey,Asia,75-79,5.5
United Kingdom,Europe,75-79,5.5
Austria,Europe,80-84,37.6
Belgium,Europe,80-84,24.2
Czech Republic,Europe,80-84,22.2
Denmark,Europe,80-84,21.1
Estonia,Europe,80-84,20.8
Finland,Europe,80-84,15.5
France,Europe,80-84,25.9
Germany,Europe,80-84,26.1
Greece,Europe,80-84,5.9
Hungary,Europe,80-84,39.2
Iceland,Europe,80-84,0
Ireland,Europe,80-84,7.6
Israel,Asia,80-84,12.6
Italy,Europe,80-84,10.9
Japan,Asia,80-84,19.6
Korea,Asia,80-84,62.1
Latvia,Europe,80-84,32
Lithuania,Europe,80-84,31.5
Luxembourg,Europe,80-84,15.6
Netherlands,Europe,80-84,15.1
Norway,Europe,80-84,5.7
Poland,Europe,80-84,12.1
Portugal,Europe,80-84,25.6
Slovak Republic,Europe,80-84,11
Slovenia,Europe,80-84,64.5
Spain,Europe,80-84,17.7
Sweden,Europe,80-84,17.9
Switzerland,Europe,80-84,25.2
Turkey,Asia,80-84,7.6
United Kingdom,Europe,80-84,6.3
Austria,Europe,85+,45.5
Belgium,Europe,85+,25.6
Czech Republic,Europe,85+,27
Denmark,Europe,85+,25.3
Estonia,Europe,85+,32.7
Finland,Europe,85+,17.6
France,Europe,85+,34
Germany,Europe,85+,35.2
Greece,Europe,85+,10.7
Hungary,Europe,85+,42.8
Iceland,Europe,85+,0
Ireland,Europe,85+,3
Israel,Asia,85+,18.2
Italy,Europe,85+,12.7
Japan,Asia,85+,18.7
Korea,Asia,85+,63.3
Latvia,Europe,85+,25.1
Lithuania,Europe,85+,33.1
Luxembourg,Europe,85+,16
Netherlands,Europe,85+,13.4
Norway,Europe,85+,13.8
Poland,Europe,85+,12.5
Portugal,Europe,85+,29.4
Slovak Republic,Europe,85+,13.4
Slovenia,Europe,85+,50.9
Spain,Europe,85+,18.3
Sweden,Europe,85+,21.5
Switzerland,Europe,85+,28.3
Turkey,Asia,85+,7.7
United Kingdom,Europe,85+,8.1
